,date,fear_and_greed,open,high,low,close,vol.,volatility,rsi,outcome
981,2023-01-01,26,1196.713623046875,1203.475341796875,1192.8853759765625,1200.96484375,2399674550.0,64.1,55.53969552627878,SKIPPED
982,2023-01-02,27,1201.103271484375,1219.860595703125,1195.2149658203125,1214.6566162109375,3765758498.0,64.06,66.42099531409377,SKIPPED
983,2023-01-03,26,1214.7440185546875,1219.0953369140625,1207.4915771484375,1214.77880859375,3392972131.0,61.98,48.432249081334604,SKIPPED
984,2023-01-04,29,1214.7186279296875,1264.8074951171875,1213.1688232421875,1256.526611328125,6404416893.0,61.83,66.39366807361638,SKIPPED
985,2023-01-05,29,1256.484619140625,1258.571533203125,1245.173095703125,1250.4385986328125,4001786456.0,61.19,62.1786593588719,SKIPPED
986,2023-01-06,26,1250.458984375,1273.2203369140625,1240.947509765625,1269.3790283203125,4977252792.0,60.82,66.47314866186589,SKIPPED
987,2023-01-07,25,1269.4197998046875,1270.5982666015625,1262.2711181640625,1264.2703857421875,2565213548.0,60.13,64.0450135100964,SKIPPED
988,2023-01-08,25,1264.181884765625,1287.3594970703125,1260.226806640625,1287.3594970703125,3495088905.0,63.46,69.60761807711582,SKIPPED
989,2023-01-09,25,1287.4508056640625,1342.1441650390625,1286.6807861328125,1321.5389404296875,7990438824.0,63.3,73.572472283807,SKIPPED
990,2023-01-10,26,1321.3955078125,1342.7572021484375,1318.5272216796875,1336.5860595703125,5830173253.0,65.22,80.72630031498181,SKIPPED
991,2023-01-11,26,1336.48681640625,1387.9327392578125,1323.5831298828125,1387.9327392578125,6314904311.0,65.48,93.03409705514093,SKIPPED
992,2023-01-12,30,1405.3514404296875,1432.28125,1378.422119140625,1417.9384765625,12230193038.0,70.39,93.5500231721863,SKIPPED
993,2023-01-13,31,1417.9461669921875,1461.6727294921875,1404.02392578125,1451.6148681640625,7684148212.0,77.26,95.1168119269058,SKIPPED
994,2023-01-14,46,1451.428466796875,1563.7391357421875,1450.9884033203125,1550.7069091796875,15444626014.0,82.08,97.02476931525547,SKIPPED
995,2023-01-15,52,1550.7315673828125,1556.9508056640625,1520.893798828125,1552.4794921875,6774614499.0,80.61,97.00550496334704,SKIPPED
996,2023-01-16,45,1552.519287109375,1594.039794921875,1529.5736083984375,1576.83349609375,8454485431.0,81.32,97.08852751667328,SKIPPED
997,2023-01-17,51,1577.107421875,1594.0009765625,1553.3359375,1567.8460693359375,7599462786.0,82.71,94.86978529163459,SKIPPED
998,2023-01-18,52,1567.698974609375,1602.106689453125,1509.4228515625,1515.5069580078125,10354880595.0,74.14,82.04990230489153,SKIPPED
999,2023-01-19,45,1515.2496337890625,1557.9703369140625,1514.3800048828125,1552.5565185546875,6432638856.0,69.64,84.72713322916385,SKIPPED
1000,2023-01-20,51,1552.3736572265625,1659.8857421875,1544.9178466796875,1659.754150390625,8528894754.0,73.92,87.30324813650157,SKIPPED
1001,2023-01-21,53,1659.7060546875,1674.1793212890625,1626.81298828125,1627.1181640625,8859250310.0,74.33,82.93987651850173,SKIPPED
1002,2023-01-22,53,1627.365966796875,1658.0234375,1612.085693359375,1628.382080078125,7517988734.0,74.46,82.2359495045047,SKIPPED
1003,2023-01-23,50,1628.55078125,1641.2181396484375,1607.903076171875,1628.2510986328125,8264507375.0,73.96,80.98733811288699,SKIPPED
1004,2023-01-24,52,1627.8482666015625,1639.723876953125,1551.3897705078125,1556.604248046875,8180274691.0,69.86,69.94729163839935,SKIPPED
1005,2023-01-25,51,1556.8074951171875,1632.24169921875,1530.7978515625,1611.7110595703125,10598973448.0,68.71,70.15080412304047,PROFITABLE
1006,2023-01-26,54,1611.0809326171875,1626.1982421875,1586.59814453125,1603.10595703125,8395315241.0,66.21,67.34237777383473,SKIPPED
1007,2023-01-27,55,1603.080078125,1617.0008544921875,1565.2449951171875,1598.156494140625,8124465373.0,65.73,64.50529562688783,PROFITABLE
1008,2023-01-28,52,1598.1253662109375,1604.7041015625,1565.39013671875,1572.43505859375,5803653357.0,72.09,52.51622497692243,PROFITABLE
1009,2023-01-29,55,1572.6295166015625,1653.7249755859375,1568.98486328125,1646.1556396484375,8801292300.0,68.76,59.2986399953664,PROFITABLE
1010,2023-01-30,61,1646.147705078125,1646.651611328125,1546.6607666015625,1567.3265380859375,9180418120.0,68.8,49.14840279462009,PROFITABLE
1011,2023-01-31,51,1567.419921875,1598.517578125,1563.8043212890625,1586.535400390625,6585191019.0,71.12,51.644014219639004,PROFITABLE
1012,2023-02-01,56,1586.4881591796875,1644.7275390625,1566.8572998046875,1641.792724609375,8116969489.0,70.28,61.05203467397164,PROFITABLE
1013,2023-02-02,60,1641.365966796875,1704.4581298828125,1641.3226318359375,1643.2415771484375,10558081069.0,70.19,58.463802697964425,PROFITABLE
1014,2023-02-03,60,1642.9046630859375,1670.6968994140625,1634.223388671875,1664.74560546875,8169519805.0,71.49,50.55457001497298,PROFITABLE
1015,2023-02-04,58,1664.4722900390625,1690.099609375,1648.189208984375,1667.0592041015625,5843302512.0,71.24,54.75820616309686,PROFITABLE
1016,2023-02-05,58,1667.16650390625,1671.770263671875,1616.391845703125,1631.6458740234375,6926696531.0,71.79,50.359562462631025,PROFITABLE
1017,2023-02-06,56,1631.645263671875,1653.7154541015625,1611.319091796875,1616.2470703125,6919871886.0,71.25,48.7205915070393,PROFITABLE
1018,2023-02-07,54,1616.0096435546875,1673.7978515625,1614.863037109375,1672.0035400390625,8030277434.0,69.53,62.7306592086867,PROFITABLE
1019,2023-02-08,58,1671.9052734375,1688.5272216796875,1635.2650146484375,1650.716796875,7806089579.0,67.67,54.65003141883622,PROFITABLE
1020,2023-02-09,55,1651.082275390625,1655.23486328125,1537.1822509765625,1546.438232421875,10524969124.0,68.53,44.49921011357965,PROFITABLE
1021,2023-02-10,48,1546.5965576171875,1553.32568359375,1504.83447265625,1514.869140625,8397387897.0,67.58,42.31250599978097,PROFITABLE
1022,2023-02-11,49,1514.94189453125,1541.334716796875,1510.14697265625,1539.9267578125,5064007416.0,66.8,46.995774581790094,PROFITABLE
1023,2023-02-12,50,1539.7760009765625,1545.55419921875,1501.4620361328125,1515.03369140625,5319698775.0,70.31,36.680431592550924,PROFITABLE
1024,2023-02-13,48,1514.9169921875,1524.7314453125,1470.02392578125,1507.1658935546875,9363855114.0,64.93,42.85934103254964,PROFITABLE
1025,2023-02-14,50,1506.9920654296875,1562.0343017578125,1497.1944580078125,1556.8751220703125,9249575045.0,64.91,46.71721286336665,PROFITABLE
1026,2023-02-15,53,1556.76513671875,1674.289794921875,1545.689697265625,1673.7459716796875,10015035156.0,70.55,53.112118836450556,PROFITABLE
1027,2023-02-16,62,1673.867431640625,1732.8011474609375,1638.1455078125,1640.067626953125,12704861676.0,68.94,49.70913081562176,PROFITABLE
1028,2023-02-17,61,1640.2801513671875,1716.7818603515625,1636.173828125,1694.7833251953125,9802443159.0,70.51,52.59478594273458,PROFITABLE
1029,2023-02-18,60,1694.7418212890625,1705.30908203125,1683.670166015625,1691.8194580078125,5491437195.0,71.37,52.13649574082797,PROFITABLE
1030,2023-02-19,60,1691.68017578125,1718.9476318359375,1673.9066162109375,1681.4361572265625,6959144003.0,72.73,54.490227187560414,PROFITABLE
1031,2023-02-20,58,1682.3370361328125,1716.4893798828125,1659.2950439453125,1702.6751708984375,7703604237.0,70.7,57.713080663368146,PROFITABLE
1032,2023-02-21,60,1702.7978515625,1714.28564453125,1642.396728515625,1658.036376953125,8721608198.0,68.43,48.72829711471411,PROFITABLE
1033,2023-02-22,59,1658.1409912109375,1663.996826171875,1604.8033447265625,1643.231689453125,9189387004.0,65.08,49.310344362184935,PROFITABLE
1034,2023-02-23,56,1643.298583984375,1674.6015625,1632.566162109375,1651.0738525390625,9013236167.0,61.61,61.72431196989779,PROFITABLE
1035,2023-02-24,53,1650.8951416015625,1661.09130859375,1583.1478271484375,1608.3731689453125,8909129423.0,58.3,60.222033317008005,PROFITABLE
1036,2023-02-25,52,1608.6583251953125,1608.8651123046875,1567.6317138671875,1594.9149169921875,5657686235.0,59.94,56.167831371194836,PROFITABLE
1037,2023-02-26,51,1594.7611083984375,1645.2734375,1590.39306640625,1640.817138671875,5727967432.0,59.39,63.47367292393471,PROFITABLE
1038,2023-02-27,50,1640.763671875,1662.57568359375,1615.387939453125,1634.326416015625,7239824677.0,57.53,63.66148647922028,PROFITABLE
1039,2023-02-28,53,1634.50244140625,1644.435791015625,1602.4281005859375,1605.8951416015625,6323676957.0,62.34,55.518782484889634,PROFITABLE
1040,2023-03-01,50,1606.0404052734375,1663.4337158203125,1601.548583984375,1663.4337158203125,7701847224.0,61.95,48.66000672550425,PROFITABLE
1041,2023-03-02,51,1663.549072265625,1672.0511474609375,1622.5999755859375,1647.3193359375,7080950926.0,59.7,50.98736959394953,PROFITABLE
1042,2023-03-03,50,1647.5577392578125,1648.475341796875,1552.4515380859375,1569.1676025390625,9922240199.0,58.22,33.922614367974845,PROFITABLE
1043,2023-03-04,50,1569.278076171875,1575.63720703125,1551.73681640625,1566.9239501953125,4389045367.0,59.11,33.985269147353605,UNPROFITABLE
1044,2023-03-05,47,1567.1793212890625,1584.2088623046875,1559.9541015625,1564.46875,5020886238.0,59.53,34.69058491990731,PROFITABLE
1045,2023-03-06,48,1564.3831787109375,1579.456298828125,1557.363525390625,1567.398681640625,5245153345.0,59.45,31.402853346373774,UNPROFITABLE
1046,2023-03-07,49,1567.4246826171875,1579.1622314453125,1543.1275634765625,1561.93310546875,6854058349.0,59.13,35.19342556935344,PROFITABLE
1047,2023-03-08,50,1561.9779052734375,1568.17529296875,1534.0882568359375,1534.0882568359375,7130327525.0,57.0,33.83391788504022,UNPROFITABLE
1048,2023-03-09,44,1534.0316162109375,1544.1083984375,1423.2647705078125,1438.6607666015625,9457897583.0,64.48,25.01930881061746,UNPROFITABLE
1049,2023-03-10,34,1438.7601318359375,1438.7601318359375,1378.525390625,1429.1580810546875,12665194936.0,71.25,27.138398235016396,SKIPPED
1050,2023-03-11,33,1429.100830078125,1484.136962890625,1428.72314453125,1482.61669921875,14917080154.0,67.41,37.00122449867759,SKIPPED
1051,2023-03-12,33,1482.431884765625,1607.152587890625,1461.6109619140625,1590.29296875,11480965122.0,73.14,44.88343102631529,LIQUIDATED
1052,2023-03-13,49,1590.8311767578125,1699.9117431640625,1572.07470703125,1680.3089599609375,15711468959.0,68.58,53.98285387902386,PROFITABLE
1053,2023-03-14,56,1680.2952880859375,1779.9178466796875,1665.90234375,1703.507080078125,16159781303.0,68.69,58.532167964536164,PROFITABLE
1054,2023-03-15,50,1705.18994140625,1721.0792236328125,1616.63037109375,1656.1805419921875,12715339905.0,65.42,49.354482790987916,PROFITABLE
1055,2023-03-16,52,1656.33203125,1693.1392822265625,1639.26171875,1677.2154541015625,9364980166.0,67.95,52.637590694137955,PROFITABLE
1056,2023-03-17,51,1677.2967529296875,1799.343994140625,1667.1318359375,1792.485107421875,12467445117.0,76.42,68.49115628793538,PROFITABLE
1057,2023-03-18,64,1793.5924072265625,1840.3575439453125,1751.2628173828125,1761.65966796875,10317822213.0,80.79,65.39580074956422,PROFITABLE
1058,2023-03-19,63,1762.9632568359375,1843.8441162109375,1762.9632568359375,1785.5765380859375,9170565472.0,74.28,66.9070327185197,PROFITABLE
1059,2023-03-20,66,1785.416259765625,1807.7252197265625,1728.103759765625,1735.3212890625,10978325507.0,77.6,61.97363335991004,PROFITABLE
1060,2023-03-21,68,1735.617919921875,1836.28857421875,1725.00732421875,1806.7607421875,10758627746.0,75.36,65.95608351400625,PROFITABLE
1061,2023-03-22,62,1804.95703125,1821.458251953125,1717.76513671875,1737.717041015625,12484103560.0,72.44,62.59469652640857,PROFITABLE
1062,2023-03-23,57,1737.140869140625,1853.8880615234375,1732.524658203125,1816.4051513671875,11012966854.0,71.39,73.85799380436409,PROFITABLE
1063,2023-03-24,61,1815.81982421875,1819.935302734375,1730.3494873046875,1752.0447998046875,10913669383.0,69.78,69.0716585979531,SKIPPED
1064,2023-03-25,64,1751.469482421875,1762.674560546875,1716.6519775390625,1743.7647705078125,6614309912.0,68.58,66.29465057587774,PROFITABLE
1065,2023-03-26,64,1743.8421630859375,1797.8802490234375,1741.182861328125,1775.6767578125,6990313307.0,69.04,62.77510834746561,PROFITABLE
1066,2023-03-27,64,1775.4813232421875,1781.3792724609375,1690.5166015625,1715.4608154296875,8585750760.0,66.57,52.526124976709376,PROFITABLE
1067,2023-03-28,59,1715.327392578125,1791.1109619140625,1702.564697265625,1772.78564453125,8346890042.0,70.32,54.7458023402133,PROFITABLE
1068,2023-03-29,57,1772.89990234375,1825.6009521484375,1772.89990234375,1793.0018310546875,9136176952.0,70.25,59.73425257712261,PROFITABLE
1069,2023-03-30,60,1793.345947265625,1827.2802734375,1766.2489013671875,1792.7371826171875,9724496987.0,66.32,58.46918031460632,PROFITABLE
1070,2023-03-31,63,1793.6201171875,1844.6773681640625,1783.1422119140625,1822.0220947265625,9149379763.0,64.37,52.47781997473098,PROFITABLE
1071,2023-04-01,61,1821.704345703125,1840.173095703125,1811.1185302734375,1813.860595703125,5556443606.0,66.51,54.55216483045759,UNPROFITABLE
1072,2023-04-02,63,1821.192138671875,1824.328857421875,1774.8724365234375,1795.7081298828125,6199721188.0,66.25,50.892494990079086,UNPROFITABLE
1073,2023-04-03,63,1794.9224853515625,1839.1578369140625,1765.5189208984375,1810.297119140625,9643826401.0,69.49,57.047486733510866,UNPROFITABLE
1074,2023-04-04,62,1810.14208984375,1886.5946044921875,1802.9554443359375,1871.005126953125,10398322335.0,68.01,56.16310246847308,UNPROFITABLE
1075,2023-04-05,62,1870.965087890625,1937.49755859375,1865.94189453125,1909.114013671875,10319231689.0,67.87,67.47996771130198,PROFITABLE
1076,2023-04-06,63,1909.1435546875,1909.271728515625,1857.0850830078125,1872.922607421875,8263191830.0,62.84,56.31098981416432,PROFITABLE
1077,2023-04-07,64,1872.734130859375,1882.2991943359375,1845.993896484375,1865.6361083984375,8356130492.0,61.28,64.53703449120536,PROFITABLE
1078,2023-04-08,61,1864.6790771484375,1879.1077880859375,1848.87548828125,1849.4981689453125,5016362733.0,62.35,63.264619798857936,PROFITABLE
1079,2023-04-09,61,1849.6722412109375,1873.057373046875,1828.7000732421875,1859.3878173828125,6361497715.0,65.35,61.11606591433627,PROFITABLE
1080,2023-04-10,62,1859.7412109375,1917.3001708984375,1848.1641845703125,1911.20751953125,8380134275.0,66.42,76.58622168091898,PROFITABLE
1081,2023-04-11,68,1911.3758544921875,1936.728271484375,1886.5341796875,1892.189697265625,8877222956.0,63.29,68.10092392326152,SKIPPED
1082,2023-04-12,65,1891.94970703125,1929.8812255859375,1860.036865234375,1920.68212890625,11010714187.0,64.51,68.88176030009875,PROFITABLE
1083,2023-04-13,61,1917.6983642578125,2022.150146484375,1901.8603515625,2012.6346435546875,12546950499.0,62.78,75.58180354697231,PROFITABLE
1084,2023-04-14,68,2013.9306640625,2126.316650390625,2011.5032958984375,2101.635498046875,16298099411.0,63.77,78.56061824588441,SKIPPED
1085,2023-04-15,68,2101.616455078125,2111.075439453125,2076.5107421875,2092.466796875,8036468153.0,65.66,78.39930557802218,SKIPPED
1086,2023-04-16,68,2092.281005859375,2137.445068359375,2076.83203125,2120.005859375,7898126856.0,65.94,82.43610020607048,SKIPPED
1087,2023-04-17,69,2120.001220703125,2120.113525390625,2063.03857421875,2076.242919921875,9648882546.0,64.94,75.1330235794706,SKIPPED
1088,2023-04-18,58,2075.855224609375,2121.531494140625,2057.65380859375,2104.537353515625,9134015143.0,63.25,73.51013674765807,SKIPPED
1089,2023-04-19,63,2103.9462890625,2104.857177734375,1928.5828857421875,1936.4034423828125,13779745451.0,61.49,52.17727438030148,SKIPPED
1090,2023-04-20,52,1936.41796875,1979.5733642578125,1918.1328125,1943.09765625,11324135406.0,62.03,55.87543073791552,PROFITABLE
1091,2023-04-21,50,1943.409912109375,1955.649169921875,1827.7889404296875,1849.9998779296875,12044274581.0,62.3,48.85533047180846,PROFITABLE
1092,2023-04-22,53,1849.2864990234375,1886.7816162109375,1845.8492431640625,1874.2286376953125,6970642726.0,61.61,51.78922929746397,PROFITABLE
1093,2023-04-23,56,1874.1715087890625,1882.229736328125,1838.992431640625,1862.06201171875,6607451862.0,61.88,50.19284042404295,PROFITABLE
1094,2023-04-24,53,1862.0853271484375,1888.1937255859375,1811.7921142578125,1842.7574462890625,8438191338.0,60.26,44.8210944006904,PROFITABLE
1095,2023-04-25,53,1842.204345703125,1877.4849853515625,1805.3228759765625,1866.753662109375,8677255481.0,60.21,48.08990881664034,PROFITABLE
1096,2023-04-26,56,1866.14892578125,1962.567626953125,1792.4638671875,1866.564208984375,14356524696.0,59.4,45.75565718986123,PROFITABLE
1097,2023-04-27,59,1866.6932373046875,1936.9451904296875,1863.14794921875,1908.786376953125,14008145806.0,54.64,41.166355675867635,PROFITABLE
1098,2023-04-28,64,1909.2730712890625,1923.19921875,1876.2918701171875,1892.5128173828125,7691759733.0,55.52,29.69968050512469,PROFITABLE
1099,2023-04-29,64,1892.5650634765625,1916.9737548828125,1887.990478515625,1908.9169921875,4796651246.0,56.11,32.428964000200054,SKIPPED
1100,2023-04-30,60,1908.7413330078125,1938.41796875,1876.92431640625,1876.92431640625,6539641957.0,57.88,26.926791851187545,PROFITABLE
1101,2023-05-01,63,1868.89111328125,1886.2064208984375,1809.1932373046875,1831.954833984375,8625783201.0,55.93,26.8652571932208,SKIPPED
1102,2023-05-02,55,1831.7265625,1879.759521484375,1824.3270263671875,1870.789306640625,7536785767.0,57.41,28.296699186527448,SKIPPED
1103,2023-05-03,64,1870.6871337890625,1915.504150390625,1845.871826171875,1904.65185546875,8306390869.0,56.69,46.07264909903557,SKIPPED
1104,2023-05-04,64,1905.1689453125,1915.8717041015625,1868.6297607421875,1877.7041015625,6578438233.0,54.64,42.29740175486222,PROFITABLE
1105,2023-05-05,61,1877.8331298828125,1998.41357421875,1876.9466552734375,1995.0609130859375,9498261360.0,55.84,66.16281581239524,PROFITABLE
1106,2023-05-06,60,1995.4791259765625,2017.5594482421875,1870.6055908203125,1900.2218017578125,9623243037.0,57.14,52.5024244381485,PROFITABLE
1107,2023-05-07,64,1899.9176025390625,1933.9984130859375,1873.076416015625,1873.076416015625,6883942236.0,56.58,51.03065816827724,PROFITABLE
1108,2023-05-08,60,1872.47509765625,1886.162109375,1818.4505615234375,1849.042724609375,9895102899.0,56.25,50.582976924353744,PROFITABLE
1109,2023-05-09,51,1849.06103515625,1860.66748046875,1832.906982421875,1848.6031494140625,6129516088.0,54.72,48.239560603495335,PROFITABLE
1110,2023-05-10,52,1848.2135009765625,1886.80029296875,1795.6688232421875,1842.4014892578125,9945549603.0,56.07,47.68344671053202,PROFITABLE
1111,2023-05-11,52,1842.4920654296875,1842.4920654296875,1774.132568359375,1796.4906005859375,8353828312.0,55.6,39.30947685492389,PROFITABLE
1112,2023-05-12,49,1795.1766357421875,1812.4249267578125,1742.40380859375,1808.019775390625,9047198660.0,53.71,41.88296511760176,PROFITABLE
1113,2023-05-13,48,1808.375,1816.0584716796875,1788.4755859375,1796.1148681640625,4647630864.0,53.42,39.0688866854941,PROFITABLE
1114,2023-05-14,48,1796.10791015625,1823.49072265625,1793.228759765625,1800.5009765625,4711210241.0,54.25,42.17553712414308,PROFITABLE
1115,2023-05-15,50,1800.3712158203125,1845.6954345703125,1787.536376953125,1817.5499267578125,6748889346.0,54.27,48.43574899129969,PROFITABLE
1116,2023-05-16,54,1816.82421875,1830.3515625,1797.84375,1824.1214599609375,5595959668.0,53.27,44.55041644868979,PROFITABLE
1117,2023-05-17,50,1824.068359375,1835.5545654296875,1786.6719970703125,1821.859619140625,6352161579.0,52.08,39.561654562568755,PROFITABLE
1118,2023-05-18,51,1822.0682373046875,1831.4503173828125,1774.195068359375,1801.728515625,5673124255.0,51.2,40.25356100372073,PROFITABLE
1119,2023-05-19,48,1800.994384765625,1826.1942138671875,1797.4344482421875,1812.5894775390625,4796110259.0,51.19,17.791378259741634,PROFITABLE
1120,2023-05-20,48,1812.76611328125,1829.0096435546875,1808.0467529296875,1820.47802734375,2951655969.0,52.32,29.689772523064505,SKIPPED
1121,2023-05-21,52,1820.1380615234375,1827.9219970703125,1799.9468994140625,1804.5313720703125,3386768865.0,51.1,31.485881328113308,SKIPPED
1122,2023-05-22,49,1804.8419189453125,1826.696533203125,1793.2239990234375,1817.5347900390625,4534841049.0,54.1,40.950433592991274,PROFITABLE
1123,2023-05-23,50,1817.7811279296875,1869.343994140625,1816.2879638671875,1854.380615234375,6820047160.0,54.71,51.37237458585772,PROFITABLE
1124,2023-05-24,50,1854.2996826171875,1854.2996826171875,1780.925537109375,1800.0999755859375,7101647419.0,51.46,41.82012170653523,PROFITABLE
1125,2023-05-25,51,1799.84521484375,1815.9947509765625,1763.3651123046875,1805.9537353515625,6321689859.0,49.15,52.16534399367173,PROFITABLE
1126,2023-05-26,49,1805.7254638671875,1837.8658447265625,1798.406005859375,1828.689697265625,5451414258.0,47.4,54.49893403788151,PROFITABLE
1127,2023-05-27,48,1828.57568359375,1836.1845703125,1817.4920654296875,1831.1182861328125,3216737652.0,47.37,57.94651259977897,PROFITABLE
1128,2023-05-28,50,1831.0986328125,1915.7232666015625,1825.46728515625,1910.9141845703125,6359610561.0,49.39,68.67272640942694,PROFITABLE
1129,2023-05-29,52,1909.2974853515625,1926.4217529296875,1879.0775146484375,1893.078125,5884674572.0,47.21,62.739170736146576,PROFITABLE
1130,2023-05-30,51,1893.0931396484375,1916.574951171875,1883.9346923828125,1901.026611328125,5363439784.0,45.85,62.911445274729964,PROFITABLE
1131,2023-05-31,51,1901.0982666015625,1907.035400390625,1852.0947265625,1874.1304931640625,5984512548.0,45.57,58.10521717173438,PROFITABLE
1132,2023-06-01,52,1873.9146728515625,1887.705322265625,1846.2274169921875,1862.201416015625,5640027197.0,44.66,59.62178208283612,PROFITABLE
1133,2023-06-02,50,1862.4237060546875,1910.2784423828125,1851.9647216796875,1907.256591796875,6097746022.0,44.31,63.58425688966896,PROFITABLE
1134,2023-06-03,53,1907.4207763671875,1908.822265625,1885.4854736328125,1892.4124755859375,3472274607.0,43.66,60.12021563249738,PROFITABLE
1135,2023-06-04,52,1892.398193359375,1912.2056884765625,1885.65185546875,1890.5135498046875,3747042696.0,44.22,62.594354939070705,PROFITABLE
1136,2023-06-05,53,1890.4176025390625,1890.6405029296875,1780.2115478515625,1811.828369140625,9246593033.0,42.07,49.29902372855737,PROFITABLE
1137,2023-06-06,44,1810.5814208984375,1896.22265625,1801.4052734375,1884.494873046875,8704411776.0,45.12,53.40001720020376,PROFITABLE
1138,2023-06-07,53,1884.3729248046875,1893.80908203125,1822.3031005859375,1832.39599609375,7919894455.0,43.74,53.66439971734002,PROFITABLE
1139,2023-06-08,50,1832.5135498046875,1861.1361083984375,1830.1650390625,1846.3018798828125,4536041931.0,42.9,54.49586692325312,PROFITABLE
1140,2023-06-09,50,1846.077880859375,1854.824951171875,1828.5445556640625,1840.2252197265625,4610831509.0,45.86,51.33492735234347,PROFITABLE
1141,2023-06-10,49,1840.3919677734375,1844.78564453125,1721.443115234375,1752.384765625,10788500406.0,46.48,42.39256459098764,PROFITABLE
1142,2023-06-11,47,1752.527587890625,1776.84716796875,1741.1104736328125,1753.415283203125,4559112981.0,49.26,32.04985407335538,PROFITABLE
1143,2023-06-12,47,1753.075439453125,1757.6597900390625,1722.9063720703125,1742.5286865234375,6031384958.0,49.36,32.56571460721362,PROFITABLE
1144,2023-06-13,45,1742.39013671875,1761.9554443359375,1727.7498779296875,1739.03759765625,6214125203.0,46.22,31.045278310085124,PROFITABLE
1145,2023-06-14,46,1739.2501220703125,1749.1632080078125,1637.187744140625,1650.519287109375,7462905534.0,51.49,27.132471956483585,PROFITABLE
1146,2023-06-15,41,1650.4981689453125,1676.4066162109375,1624.1383056640625,1665.519775390625,7328564880.0,48.98,30.0119787994107,SKIPPED
1147,2023-06-16,47,1665.41064453125,1727.28955078125,1653.1708984375,1716.6688232421875,6281023479.0,47.81,30.86824127684342,PROFITABLE
1148,2023-06-17,47,1716.6717529296875,1766.76318359375,1714.15087890625,1727.2041015625,4875187477.0,47.79,33.271183712942914,PROFITABLE
1149,2023-06-18,49,1727.1937255859375,1746.5091552734375,1718.1114501953125,1720.5775146484375,3820038842.0,48.13,32.955654602593754,PROFITABLE
1150,2023-06-19,47,1720.50537109375,1745.1346435546875,1705.8134765625,1737.659423828125,5210480121.0,49.99,41.5120676629548,PROFITABLE
1151,2023-06-20,49,1736.8797607421875,1793.31396484375,1715.342529296875,1792.1199951171875,7171072578.0,55.52,38.968906495580626,PROFITABLE
1152,2023-06-21,59,1791.9949951171875,1898.6689453125,1788.4892578125,1891.0072021484375,11731457711.0,53.93,56.29563797646081,PROFITABLE
1153,2023-06-22,65,1889.79443359375,1932.0655517578125,1867.8765869140625,1872.9429931640625,8477657143.0,54.14,52.836279592988866,PROFITABLE
1154,2023-06-23,65,1872.540771484375,1932.5316162109375,1865.1920166015625,1892.862060546875,8290615074.0,53.4,55.44341100106772,PROFITABLE
1155,2023-06-24,62,1893.77197265625,1905.2274169921875,1867.8115234375,1876.0596923828125,5026191704.0,51.34,64.9925994808242,PROFITABLE
